2016-04-19 10:30:29,299 [main] INFO  org.eclipse.jetty.util.log [Line:186] - Logging initialized @1549ms
2016-04-19 10:30:29,923 [main] INFO  org.eclipse.jetty.server.Server [Line:327] - jetty-9.2.10.v20150310
2016-04-19 10:30:29,986 [main] INFO  / [Line:2052] - Initializing Spring root WebApplicationContext
2016-04-19 10:30:29,986 [main] INFO  o.s.web.context.ContextLoader [Line:285] - Root WebApplicationContext: initialization started
2016-04-19 10:30:30,119 [main] INFO  o.s.w.c.s.XmlWebApplicationContext [Line:510] - Refreshing Root WebApplicationContext: startup date [Tue Apr 19 10:30:30 CST 2016]; root of context hierarchy
2016-04-19 10:30:30,191 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader [Line:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
2016-04-19 10:30:31,156 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [Line:153] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-04-19 10:30:31,427 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/es/query],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object zx.soft.tksdn.spring.controller.QueryController.queryData(javax.servlet.http.HttpServletRequest)
2016-04-19 10:30:32,128 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Apr 19 10:30:30 CST 2016]; root of context hierarchy
2016-04-19 10:30:32,163 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Apr 19 10:30:30 CST 2016]; root of context hierarchy
2016-04-19 10:30:32,224 [main] INFO  o.s.web.context.ContextLoader [Line:325] - Root WebApplicationContext: initialization completed in 2238 ms
2016-04-19 10:30:32,228 [main] INFO  / [Line:2052] - Initializing Spring FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-12cdcf4'
2016-04-19 10:30:32,229 [main] INFO  o.s.web.servlet.DispatcherServlet [Line:484] - FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-12cdcf4': initialization started
2016-04-19 10:30:32,278 [main] INFO  o.s.web.servlet.DispatcherServlet [Line:503] - FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-12cdcf4': initialization completed in 49 ms
2016-04-19 10:30:32,279 [main] INFO  o.e.j.server.handler.ContextHandler [Line:744] - Started o.e.j.s.ServletContextHandler@4493d195{/,file:/home/lb/workspace/tksdn-search/tksdn-springdemo/target/classes/webapp/,AVAILABLE}
2016-04-19 10:30:32,457 [main] INFO  o.e.jetty.server.ServerConnector [Line:266] - Started ServerConnector@59ec2012{HTTP/1.1}{0.0.0.0:8900}
2016-04-19 10:30:32,458 [main] INFO  org.eclipse.jetty.server.Server [Line:379] - Started @4763ms
2016-04-19 10:30:32,458 [main] INFO  z.s.t.spring.server.QueryApiServer [Line:62 ] - Server started at port 8900
2016-04-19 10:30:57,683 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  z.s.t.s.controller.QueryController [Line:41 ] - QueryParams [indexName=tekuan, indexType=record, preferenceType=, searchType=, includes=null, q=党not五not经济, termAgg=src_ip, dateHistAgg=, term=, value=, hlfl=content, rangeFiled=, rangeStart=, rangeEnd=, timeZone=, sort=, from=0, size=10]
2016-04-19 10:30:57,837 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  zx.soft.utils.config.ConfigUtil [Line:33 ] - Load resource: utils.properties
2016-04-19 10:30:57,843 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  zx.soft.utils.config.ConfigUtil [Line:33 ] - Load resource: elasticsearch.properties
2016-04-19 10:30:58,286 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  org.elasticsearch.plugins [Line:180] - [Cold War] modules [], plugins [], sites []
2016-04-19 10:31:02,044 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  zx.soft.tksdn.es.query.ESQueryCore [Line:86 ] - numFound=77246
2016-04-19 10:31:02,044 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  zx.soft.tksdn.es.query.ESQueryCore [Line:87 ] - QTime=1598
2016-04-19 10:33:27,248 [qtp1917513796-17 - /es/query?q=keyword:(%E7%94%9F%E6%B4%BB)and:(%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E)&hlfl=content&agg=src_ip] INFO  z.s.t.s.controller.QueryController [Line:41 ] - QueryParams [indexName=tekuan, indexType=record, preferenceType=, searchType=, includes=null, q=keyword:(生活)and:(党not五not经济), termAgg=src_ip, dateHistAgg=, term=, value=, hlfl=content, rangeFiled=, rangeStart=, rangeEnd=, timeZone=, sort=, from=0, size=10]
2016-04-19 10:33:27,532 [qtp1917513796-17 - /es/query?q=keyword:(%E7%94%9F%E6%B4%BB)and:(%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E)&hlfl=content&agg=src_ip] WARN  o.e.jetty.servlet.ServletHandler [Line:620] - 
org.springframework.web.util.NestedServletException: Request processing failed; nested exception is Failed to execute phase [query], all shards failed; shardFailures {[AUTzVT9cQLezZg1Nh1sKFg][tekuan][0]: RemoteTransportException[[node-7][192.168.3.60:9300][indices:data/read/search[phase/query]]]; nested: SearchParseException[failed to parse search source [{"query":{"query_string":{"query":"KEYW OR D:(生活) AND :(党 NOT 五 NOT 经济)"}},"explain":true,"aggregations":{"src_ip":{"terms":{"field":"src_ip","size":15}}},"highlight":{"pre_tags":["<span style=\"color:red\">"],"post_tags":["</span>"],"fragment_size":10000,"fields":{"content":{}}}}]]; nested: QueryParsingException[Failed to parse query [KEYW OR D:(生活) AND :(党 NOT 五 NOT 经济)]]; nested: NotSerializableExceptionWrapper[Cannot parse 'KEYW OR D:(生活) AND :(党 NOT 五 NOT 经济)': Encountered " ":" ": "" at line 1, column 19.
Was expecting one of:
    <REGEXPTERM> ...
    "[" ...
    "{" ...
    <NUMBER> ...
    <TERM> ...
    "*" ...
    ]; }
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:978) ~[spring-webmvc-4.1.2.RELEASE.jar:4.1.2.RELEASE]
	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:857) ~[spring-webmvc-4.1.2.RELEASE.jar:4.1.2.RELEASE]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:687) ~[javax.servlet-api-3.1.0.jar:3.1.0]
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:842) ~[spring-webmvc-4.1.2.RELEASE.jar:4.1.2.RELEASE]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:790) ~[javax.servlet-api-3.1.0.jar:3.1.0]
	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:808) ~[jetty-servlet-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:587) [jetty-servlet-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1127) [jetty-server-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:515) [jetty-servlet-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1061) [jetty-server-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:141) [jetty-server-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:97) [jetty-server-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.server.Server.handle(Server.java:497) [jetty-server-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.server.HttpChannel.handle(HttpChannel.java:310) [jetty-server-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.server.HttpConnection.onFillable(HttpConnection.java:257) [jetty-server-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.io.AbstractConnection$2.run(AbstractConnection.java:540) [jetty-io-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:635) [jetty-util-9.2.10.v20150310.jar:9.2.10.v20150310]
	at org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:555) [jetty-util-9.2.10.v20150310.jar:9.2.10.v20150310]
	at java.lang.Thread.run(Thread.java:745) [na:1.8.0_60]
Caused by: org.elasticsearch.action.search.SearchPhaseExecutionException: all shards failed
	at org.elasticsearch.action.search.type.TransportSearchTypeAction$BaseAsyncAction.onFirstPhaseResult(TransportSearchTypeAction.java:228) ~[elasticsearch-2.2.0.jar:2.2.0]
	at org.elasticsearch.action.search.type.TransportSearchTypeAction$BaseAsyncAction$1.onFailure(TransportSearchTypeAction.java:174) ~[elasticsearch-2.2.0.jar:2.2.0]
	at org.elasticsearch.action.ActionListenerResponseHandler.handleException(ActionListenerResponseHandler.java:46) ~[elasticsearch-2.2.0.jar:2.2.0]
	at org.elasticsearch.transport.netty.MessageChannelHandler.handleException(MessageChannelHandler.java:211) ~[elasticsearch-2.2.0.jar:2.2.0]
	at org.elasticsearch.transport.netty.MessageChannelHandler.handlerResponseError(MessageChannelHandler.java:201) ~[elasticsearch-2.2.0.jar:2.2.0]
	at org.elasticsearch.transport.netty.MessageChannelHandler.messageReceived(MessageChannelHandler.java:136) ~[elasticsearch-2.2.0.jar:2.2.0]
	at org.jboss.netty.channel.SimpleChannelUpstreamHandler.handleUpstream(SimpleChannelUpstreamHandler.java:70) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.DefaultChannelPipeline.sendUpstream(DefaultChannelPipeline.java:564) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.DefaultChannelPipeline$DefaultChannelHandlerContext.sendUpstream(DefaultChannelPipeline.java:791) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.Channels.fireMessageReceived(Channels.java:296) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.handler.codec.frame.FrameDecoder.unfoldAndFireMessageReceived(FrameDecoder.java:462) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.handler.codec.frame.FrameDecoder.callDecode(FrameDecoder.java:443) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.handler.codec.frame.FrameDecoder.messageReceived(FrameDecoder.java:310) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.SimpleChannelUpstreamHandler.handleUpstream(SimpleChannelUpstreamHandler.java:70) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.DefaultChannelPipeline.sendUpstream(DefaultChannelPipeline.java:564) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.DefaultChannelPipeline.sendUpstream(DefaultChannelPipeline.java:559) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.Channels.fireMessageReceived(Channels.java:268) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.Channels.fireMessageReceived(Channels.java:255) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.socket.nio.NioWorker.read(NioWorker.java:88) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:108) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:337) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:89) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108) ~[netty-3.10.5.Final.jar:na]
	at org.jboss.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42) ~[netty-3.10.5.Final.jar:na]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142) ~[na:1.8.0_60]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617) ~[na:1.8.0_60]
	... 1 common frames omitted
Caused by: org.elasticsearch.common.io.stream.NotSerializableExceptionWrapper: Encountered " ":" ": "" at line 1, column 19.
Was expecting one of:
    <NOT> ...
    "+" ...
    "-" ...
    <BAREOPER> ...
    "(" ...
    "*" ...
    <QUOTED> ...
    <TERM> ...
    <PREFIXTERM> ...
    <WILDTERM> ...
    <REGEXPTERM> ...
    "[" ...
    "{" ...
    <NUMBER> ...
    <TERM> ...
    "*" ...
    
	at org.apache.lucene.queryparser.classic.QueryParser.generateParseException(QueryParser.java:698) ~[lucene-queryparser-5.4.1.jar:5.4.1 1725212 - jpountz - 2016-01-18 11:45:39]
	at org.apache.lucene.queryparser.classic.QueryParser.jj_consume_token(QueryParser.java:580) ~[lucene-queryparser-5.4.1.jar:5.4.1 1725212 - jpountz - 2016-01-18 11:45:39]
	at org.apache.lucene.queryparser.classic.QueryParser.Clause(QueryParser.java:265) ~[lucene-queryparser-5.4.1.jar:5.4.1 1725212 - jpountz - 2016-01-18 11:45:39]
	at org.apache.lucene.queryparser.classic.QueryParser.Query(QueryParser.java:202) ~[lucene-queryparser-5.4.1.jar:5.4.1 1725212 - jpountz - 2016-01-18 11:45:39]
	at org.apache.lucene.queryparser.classic.QueryParser.TopLevelQuery(QueryParser.java:160) ~[lucene-queryparser-5.4.1.jar:5.4.1 1725212 - jpountz - 2016-01-18 11:45:39]
	at org.apache.lucene.queryparser.classic.QueryParserBase.parse(QueryParserBase.java:118) ~[lucene-queryparser-5.4.1.jar:5.4.1 1725212 - jpountz - 2016-01-18 11:45:39]
